Channel,Count,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry
141,8,0.6550000000002569,46.0846086694626,10.646955655999506,1.968292875010804,0.2742184742712233,12.43817175442656,8.0,0.45833613393770256
142,44,0.7113636363636651,43.99238432387127,9.94792191709814,1.9176564189879715,0.28284022829482414,12.344834694310647,8.727272727272727,0.4950480191716152
143,63,0.7619047619047465,48.88587193093684,10.8561861967208,2.0152160161321646,0.2970999191840092,12.345714037774066,9.285714285714286,0.48248444827621356
144,68,0.7391911764705128,48.83912728641619,11.045865891532033,2.0627986007678993,0.30145230577309395,12.268841514179767,9.0,0.47745913228131476
149,2,0.7274999999999636,69.86098233268198,12.928497948978002,2.094963195334272,0.30072378629571506,12.150594932950463,8.5,0.27739565787011045
15,12,0.7333333333331211,81.88376234467451,16.952301221206728,2.369723338480166,0.2801821515421939,12.253011487481805,8.666666666666666,0.43558396791493914
153,11,0.6386363636363719,36.98591603597342,8.1049502289068,1.7201916164329125,0.2776708378890358,12.312459859353957,8.0,0.5103023885992052
154,39,0.6951282051281035,43.29447109010526,9.613927739090382,1.8949179960732312,0.2784952702031423,12.339198679441612,8.307692307692308,0.4535317559362511
155,55,0.7220909090908538,43.55631819473748,9.736322796624332,1.9100180682095789,0.28641505776394094,12.277792008910511,8.6,0.48275669178898784
159,3,0.6099999999993694,43.19005355996355,9.676452057494592,1.9181678338599382,0.2855896239271538,12.21559257622682,7.333333333333333,0.5333945511719472
16,24,0.7191666666667516,79.20405961031737,17.25523566867702,2.415672843577744,0.29032921453925215,12.359173352551059,8.708333333333334,0.5270017889782929
160,1,0.5600000000013097,29.02887779603838,6.556948057801851,1.5941662958290164,0.22883742063942422,12.843567856811054,7.0,0.7964601769911505
162,3,0.5933333333335516,36.03404758462717,7.969520085059782,1.788525448294899,0.27489424192716055,12.663557166337142,7.0,0.5234043147775542
163,9,0.6216666666669981,36.39915294239971,8.112897920769862,1.8161832994834524,0.295152903146109,12.510949508642904,7.444444444444445,0.4763277336984365
164,11,0.7045454545452892,38.03251122364926,8.341422982040285,1.7828977090708387,0.28353639677000253,12.398313217221379,8.454545454545455,0.4166250663284059
169,4,0.6649999999999636,49.54144154736769,10.543571136892828,1.9836265730768092,0.29053599423615983,12.351106182109252,8.0,0.6156916837951321
17,62,0.823225806451759,66.71485322830013,14.72535739619962,2.2566298358068004,0.3023913807718474,12.28007576656904,9.96774193548387,0.48379351922565406
170,1,0.5100000000002183,30.432452229237104,6.256101334536597,1.6560823154277624,0.26798926208271484,12.730041856999005,7.0,0.6796116504854369
171,1,0.5400000000008731,49.33489674067954,12.204823752654539,2.1407557000920225,0.2729988142298976,12.627274720896569,6.0,0.7247706422018348
172,5,0.7229999999999563,36.049454603126534,7.753773971402178,1.6901283226763855,0.30213886222810243,12.52281454559694,8.8,0.5277932705358143
173,8,0.6974999999996498,36.11217088656241,7.8228967298240235,1.7313708838869983,0.29220998726182845,12.380260641451713,8.375,0.47144329757955133
178,9,0.7044444444442585,45.03724434105814,9.728230028142443,1.9540628153283377,0.28130099013056026,12.28912572912331,8.555555555555555,0.48276896364970423
179,2,0.7074999999995271,52.86274024280922,12.624808899137253,2.0614967151228667,0.26900619050964497,12.521708432216839,9.0,0.4526809111066317
18,3,0.7233333333327513,41.82588533609433,9.215777952839344,1.8642201738027424,0.24664638317187818,12.1626902768201,9.0,0.4068581677389968
180,1,0.8550000000013824,46.25085722813836,10.941934887175824,1.992030931838182,0.32203930590194524,12.490513228721674,11.0,0.4883720930232558
181,4,0.7287499999997635,38.844378110107314,8.628545152856459,1.836177928767054,0.29820038706905033,12.377692748452802,8.5,0.3710720081547346
182,11,0.6522727272728265,38.43491488006939,8.525155820248903,1.7658606807375263,0.26213350359448334,12.297242267820621,7.909090909090909,0.3712118540608598
183,22,0.6784090909089545,36.44221995273476,8.256456979101381,1.7809381567773643,0.28425567249756883,12.363778628942429,8.045454545454545,0.5029869070423726
184,56,0.7440178571430351,42.80575268279481,9.54575133637572,1.891892365397257,0.2930119671277502,12.260279656529434,8.892857142857142,0.47589143084342833
185,70,0.7822142857142743,53.65622707661665,12.011581108476504,2.0836766351447635,0.29310984676284146,12.23532841185844,9.471428571428572,0.48186791244788246
186,62,0.8016935483871763,57.903351326382186,12.890901839321497,2.1725912548684065,0.29746862563973153,12.198739169951526,9.596774193548388,0.4690474756657769
19,6,0.6916666666669092,40.424138742787385,8.98563549025362,1.8021099498939754,0.2619196577327328,12.356773430505678,8.5,0.2753202493660509
191,6,0.7191666666664484,44.600630714837756,9.656127232794306,1.9123369518370492,0.29891904433474675,12.381775751009593,8.833333333333334,0.35372046541191543
192,5,0.6999999999992724,41.48803972144523,9.3149027111811,1.863301094705157,0.3038659366349757,12.330893583260853,8.8,0.338437776087716
193,5,0.6799999999999272,35.843106068621516,8.022743496533042,1.572335778233842,0.23662557743192938,12.209554550822052,8.2,0.3673722923559905
194,6,0.6216666666665939,30.58041041066061,7.3250296779357,1.5973215527713254,0.2627355491526719,12.406709487686923,7.333333333333333,0.2657604327700091
195,16,0.6806250000000205,37.46558537997192,8.580977073248935,1.7813471868988962,0.2866896727845337,12.383055555384782,8.0625,0.43964173120002625
196,43,0.7327906976746749,42.84898648786846,9.68702165934369,1.932735959971148,0.2906564832034394,12.286199811633251,8.720930232558139,0.49106237858205726
197,68,0.7757352941177842,55.31947914797239,12.331282102366169,2.1238674332236163,0.30428757692939923,12.254142327959425,9.264705882352942,0.49209673428008277
198,68,0.7694117647060553,65.53431998384322,14.65913669308492,2.2731393869918044,0.29751417837115346,12.291167949199652,9.323529411764707,0.47574446497179335
2,3,0.5683333333327028,37.489926758671174,9.04873035387052,1.8491224537988291,0.24599734320568914,13.07293832396027,7.666666666666667,0.48382954540428896
20,2,0.6674999999995634,45.26485866400171,9.769460782317562,1.9616048413338705,0.24536259127235996,12.129892835389253,7.5,0.5875286697247706
202,2,0.742500000000291,42.20385332129611,9.995845614974124,1.7715940091976856,0.2533547377325063,12.254919476401462,8.5,0.6541019955654102
203,2,0.5500000000010914,29.784751294182474,7.101634515435862,1.6316312183034598,0.23936509299161363,12.28937386058977,6.5,0.6915481511580659
204,8,0.6387500000000728,44.2405775586733,9.71300123078623,1.8741434238037917,0.2838916698814566,12.592905635410546,7.625,0.557967121801636
205,24,0.7045833333332633,45.898932266013816,10.240838942492882,1.9865776492995473,0.28513930464132015,12.297678355304365,8.541666666666666,0.4900566731702036
206,55,0.7390909090909262,56.529972613798584,12.705493799987288,2.1481820119668207,0.3026446063562561,12.316939259504723,8.945454545454545,0.47867061190903043
207,49,0.748265306122207,65.9328634114644,14.676003443137015,2.2858391032034464,0.3043321778006119,12.33821395229537,8.938775510204081,0.48348360447981165
210,7,0.6942857142857974,50.4973249262941,11.294449104462416,1.9445684510087413,0.25324494028631034,12.258283411761408,8.285714285714286,0.6053358927719852
211,2,0.722500000000764,45.882473816988565,9.686382192017822,1.8086410388260323,0.257424423761036,12.139955244315434,9.5,0.4334537503564978
212,3,0.8633333333333818,40.160272037969854,8.857278035072865,1.7288568530872228,0.27850899306348537,12.385285572302868,10.666666666666666,0.4971656890918395
213,9,0.6755555555553454,43.629035119267435,9.88369776094418,1.95681855184442,0.28909024067815364,12.318754771308488,8.222222222222221,0.4776475234246692
214,29,0.682758620689536,56.456763703791616,12.756345688145473,2.166765655715592,0.288555348963439,12.393291313279297,8.241379310344827,0.4343298806038107
215,45,0.716333333333417,63.51551850327796,14.20225381616607,2.2791747514511913,0.30674244520123,12.325504731960715,8.622222222222222,0.5156845094051846
22,5,0.6229999999995925,73.18438524395438,16.256205716471733,2.3342457609525527,0.28727659275474715,12.331495050443936,7.2,0.3837144147857132
220,10,0.6545000000000073,43.56017558457029,9.65858641275901,1.882604674119007,0.25797909477885655,12.180027635599636,7.8,0.642539475890727
221,3,0.6599999999998545,49.23091513770317,10.53537987895623,1.9427016166460946,0.2590693337288916,12.252145708555545,8.666666666666666,0.5129539210616385
222,2,0.5249999999996362,37.47548723098464,9.539811994973105,1.9129675820611203,0.2457937072944798,12.2073490144724,6.5,0.5377358490566038
223,7,0.769999999999657,51.00418223960594,11.85795939027459,2.094506496378675,0.2896625936143176,12.127007069616099,9.285714285714286,0.5564316280743096
224,22,0.7193181818180495,59.18553382261601,12.888933085952182,2.167203064379812,0.29572049089246993,12.284363687405312,8.681818181818182,0.4677436530933608
23,13,0.8073076923078938,77.35598951003597,16.182607077773483,2.3243029951746617,0.3027925666610519,12.277281167077884,9.692307692307692,0.45520254692990014
24,57,0.7735087719298032,70.95346182293267,15.619252129556902,2.318541113945187,0.29874301432928024,12.245587122763212,9.350877192982455,0.5250273469672853
25,16,0.7249999999997669,46.669575692540526,10.653882233013322,1.9971959196528986,0.2933027033315352,12.243315725502317,8.6875,0.5140239067136263
